职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
数据分析师,5.5-8千/月,重庆-九龙坡区,国家卫健委医患体验研究基地数据技术中心,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师助理L,0.8-1万/月,北京-朝阳区,北京鑫雨银通投资管理有限公司,合资,少于50人,金融/投资/证券,07-23,
数据分析师,1.3-1.8万/月,杭州-西湖区,浙江创联信息技术股份有限公司,民营公司,50-150人,计算机软件,07-23,
数据研究分析师,2-4万/月,杭州-上城区,杭州迈拓大数据服务有限公司,民营公司,少于50人,金融/投资/证券,07-23,
数据建模分析师,1.5-2.3万/月,上海-宝山区,上海卫诚企业征信有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-23,
数据分析师-数字供应链,1-1.5万/月,长沙-岳麓区,中科云谷科技有限公司,国企,500-1000人,互联网/电子商务,07-23,
数据分析师,1-1.8万/月,东莞-南城区,东莞市创慧教育信息科技有限公司,民营公司,50-150人,计算机软件,07-23,
外贸出口数据分析师,4.5-6千/月,沈阳-沈河区,雅士美（沈阳）服饰进出口有限公司,民营公司,50-150人,贸易/进出口,07-23,
人力资源数据分析师,1-1.5万/月,上海-长宁区,上海百秋电子商务有限公司,民营公司,1000-5000人,互联网/电子商务,07-23,
亚马逊数据分析师,4-8千/月,杭州-萧山区,杭州永丰羽绒制品有限公司,外资（欧美）,150-500人,服装/纺织/皮革,07-23,
数据分析师,4.5-6千/月,重庆-江北区,中国平安人寿保险股份有限公司重庆市江北支公司,民营公司,10000人以上,保险,07-23,
数据分析师,2-3.5万/月,上海-浦东新区,交银金融科技有限公司,民营公司,150-500人,金融/投资/证券,07-23,
数据分析师,,上海-浦东新区,“前程无忧”51job.com（上海）,外资（非欧美）,1000-5000人,互联网/电子商务,07-23,
数据分析师,1.5-2.5万/月,上海-虹口区,上海第九城市信息技术有限公司,上市公司,50-150人,计算机软件,07-23,
数据分析师,0.8-1.2万/月,青岛-高新区,深圳市腾讯计算机系统有限公司,民营公司,10000人以上,互联网/电子商务,07-23,
高级数据分析师,2-4万/月,北京,字节跳动,民营公司,10000人以上,互联网/电子商务,07-23,
资深数据分析师（电商）,1-1.5万/月,上海,乐扣乐扣（中国）,外资（非欧美）,1000-5000人,批发/零售,07-23,
BI数据分析师,0.8-1.5万/月,北京-大兴区,SMC（中国）有限公司,外资（非欧美）,5000-10000人,机械/设备/重工,07-23,
数据分析师,0.8-1.5万/月,温州,温州市冠盛汽车零部件集团股份有限公司,上市公司,1000-5000人,汽车,07-23,
数据分析师/助理（周末双休）,0.8-1万/月,重庆-江北区,中国平安人寿保险股份有限公司重庆分公司第七营销服务部,民营公司,,保险,07-23,
数据分析师,1-1.5万/月,广州-白云区,广州柏为科技有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据统计分析师,6-8千/月,上海-浦东新区,房多多网络科技,上市公司,1000-5000人,互联网/电子商务,07-23,
数据分析师（反欺诈反洗钱）,1-1.5万/月,深圳-福田区,深圳华策辉弘科技有限公司,外资（非欧美）,50-150人,计算机软件,07-23,
风控数据分析师（驻场）,1-1.5万/月,广州-天河区,北京梆梆安全科技有限公司,民营公司,500-1000人,计算机软件,07-23,
数据分析师/数据统计,6-8千/月,昆明-官渡区,云南快马汽车销售服务有限公司,民营公司,150-500人,汽车,07-23,
数据分析师,6-8千/月,西安-高新技术产业开发区,陕西万德加投资管理有限公司,民营公司,50-150人,计算机软件,07-23,
数据分析师（上海）,0.6-1.2万/月,上海,广州威尔森信息科技有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,1.3-2万/月,北京,北京友邦佳通电子科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-23,
数据分析师,1.5-3万/月,广州-海珠区,广州市易工品科技有限公司,民营公司,500-1000人,互联网/电子商务,07-23,
数据分析师,0.8-1.5万/月,广州-荔湾区,广州时易中信息科技有限公司,民营公司,500-1000人,贸易/进出口,07-23,
数据分析师G00105,1-2万/月,上海-长宁区,上海互盾信息科技有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师（量化研究方向）,2-3万/月,杭州-上城区,上海联和金融信息服务有限公司,国企,150-500人,金融/投资/证券,07-23,
数据分析师,0.8-1.5万/月,广州-天河区,广东蔚海数问大数据科技有限公司,民营公司,50-150人,计算机软件,07-23,
数据分析师,1.3-1.7万/月,深圳,上海速强信息技术股份有限公司,民营公司,150-500人,计算机软件,07-23,
房地产市场研究及数据分析师,5-8千/月,重庆-九龙坡区,重庆铭腾汇景市场信息咨询有限公司,民营公司,50-150人,房地产,07-23,
数据分析师/数据科学家,1.2-1.8万/月,上海-闵行区,麦凯（上海）生物科技有限公司,民营公司,50-150人,制药/生物工程,07-23,
数据分析师,1.2-2.4万/月,佛山,广东爱依服商贸有限公司,民营公司,10000人以上,服装/纺织/皮革,07-23,
数据分析师,1-1.5万/月,北京-海淀区,北京鹍鹏科创科技发展有限公司,民营公司,50-150人,计算机软件,07-23,
Python数据分析师,0.7-1.4万/月,上海-徐汇区,上海正品贵德软件有限公司,上市公司,150-500人,计算机软件,07-23,
高薪数据分析师,0.8-1万/月,合肥-蜀山区,合肥雅海网络科技有限责任公司,民营公司,,电子技术/半导体/集成电路,07-23,
数据分析师,0.8-1.5万/月,北京,中采智联信息科技（北京）有限责任公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,4-8千/月,石家庄-新华区,北京慧智康健医药科技有限公司,民营公司,少于50人,制药/生物工程,07-23,
数据分析师,0.8-1万/月,广州,景博行（广州）商业服务有限公司,外资（非欧美）,150-500人,房地产,07-23,
数据分析师,6-8千/月,深圳-宝安区,深圳市信展通电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-23,
大数据部-大数据分析师,1.5-2万/月,长春-高新技术产业开发区,长春市博鸿科技服务有限责任公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-23,
数据分析师,4-6千/月,沈阳-和平区,沈阳汇佰生物科技有限公司,民营公司,150-500人,制药/生物工程,07-23,
1141JH-资深数据分析师,2-2.5万/月,深圳-南山区,平安科技（深圳）有限公司,民营公司,1000-5000人,互联网/电子商务,07-23,
高级数据分析师,0.8-1.2万/月,广州-白云区,广州伊羽霓贸易有限公司,民营公司,50-150人,互联网/电子商务,07-23,
高级数据分析师,50-100万/年,广东省,广东省交易控股集团有限公司,民营公司,,金融/投资/证券,07-23,
数据分析师（电商）,1-1.5万/月,上海-杨浦区,飞鹤乳业集团上海电商事业部,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,0.8-1万/月,上海-徐汇区,云之富（上海）数据服务有限公司,民营公司,50-150人,家居/室内设计/装潢,07-23,
数据分析师,6-8千/月,西安-雁塔区,陕西全务继续教育研究院有限公司,民营公司,150-500人,教育/培训/院校,07-23,
数据分析师,3-4.5千/月,重庆-九龙坡区,重庆易新氧科技有限公司,民营公司,少于50人,互联网/电子商务,07-23,
高级数据专员/数据分析师（双休）,1.5-2万/月,深圳-龙华区,深圳市星麒祥科技有限公司,民营公司,500-1000人,互联网/电子商务,07-23,
高级数据分析师(J10499),1.5-2.2万/月,上海-浦东新区,运去哪,民营公司,500-1000人,交通/运输/物流,07-23,
高级数据分析师,0.6-1万/月,福州-鼓楼区,福州世纪飞扬电子技术有限公司,民营公司,50-150人,通信/电信运营、增值服务,07-23,
数据分析师,1-1.5万/月,成都-高新区,成都大数汇聚科技有限公司,民营公司,50-150人,计算机软件,07-23,
大华农数据分析师,1-1.5万/月,肇庆-四会市,温氏食品集团股份有限公司,民营公司,10000人以上,农/林/牧/渔,07-23,
数据分析师,0.8-1.3万/月,深圳-南山区,深圳市前海润杨金融服务有限公司,民营公司,5000-10000人,金融/投资/证券,07-23,
电商数据分析师,1-1.5万/月,上海,上海来伊份食品连锁经营有限公司,民营公司,,批发/零售,07-23,
电商数据分析师,0.8-1.3万/月,上海-松江区,上海纽斌腾工贸有限公司,民营公司,少于50人,贸易/进出口,07-23,
数据分析师,1-2万/月,广州,广州市讯方信息科技有限公司,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),07-23,
